ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
5232	TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)	Human	None	None	O00571;O15111;P19838;P25963;P41279;P62277;P62888;P78347;Q00653;Q01201;Q02878;Q04206;Q04864;Q15653;Q8NFZ5;Q92896;Q9Y6K9	1654;1147;4790;4792;1326;6207;6156;2969;4791;5971;6128;5970;5966;4793;79155;2734;8517	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ATP-dependent RNA helicase DDX3X;Inhibitor of nuclear factor kappa-B kinase subunit alpha;Nuclear factor NF-kappa-B p105 subunit;NF-kappa-B inhibitor alpha;Mitogen-activated protein kinase kinase kinase 8;40S ribosomal protein S13;60S ribosomal protein L30;General transcription factor II-I;Nuclear factor NF-kappa-B p100 subunit;Transcription factor RelB;60S ribosomal protein L6;Transcription factor p65;Proto-oncogene c-Rel;NF-kappa-B inhibitor beta;TNFAIP3-interacting protein 2;Golgi apparatus protein 1;NF-kappa-B essential modulator	DDX3X;CHUK;NFKB1;NFKBIA;MAP3K8;RPS13;RPL30;GTF2I;NFKB2;RELB;RPL6;RELA;REL;NFKBIB;TNIP2;GLG1;IKBKG	DBX DDX3;IKKA TCF16;None;IKBA MAD3 NFKBI;COT ESTF;None;None;BAP135 WBSCR6;LYT10;None;TXREB1;NFKB3;None;IKBB TRIP9;ABIN2 FLIP1;CFR1 ESL1 MG160;FIP3, NEMO
5233	TNF-alpha/NF-kappa B signaling complex 5	Human	None	None	O14920;O15111;O15446;O95602;P0DPB5;P19838;P23508;P42704;P46199;P52292;P52434;P62875;P63208;Q00653;Q04206;Q04864;Q13576;Q13616;Q15653;Q16342;Q9GZS1;Q9H9Y6;Q9UJF2;Q9UKB1;Q9Y6K9	3551;1147;10849;25885;51082;4790;4163;10128;4528;3838;5437;5441;6500;4791;5970;5966;10788;8454;4793;5134;64425;84172;9462;23291;8517	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	Q9Y2S0 is obsolete. On November 22, 2017 this entry became obsolete. It can now be found as secondary accession in P0DPB5 and P0DPB6.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Inhibitor of nuclear factor kappa-B kinase subunit beta;Inhibitor of nuclear factor kappa-B kinase subunit alpha;DNA-directed RNA polymerase I subunit RPA34;DNA-directed RNA polymerase I subunit RPA1;Protein POLR1D, isoform 2;Nuclear factor NF-kappa-B p105 subunit;Colorectal mutant cancer protein;Leucine-rich PPR motif-containing protein, mitochondrial;Translation initiation factor IF-2, mitochondrial;Importin subunit alpha-1;DNA-directed RNA polymerases I, II, and III subunit RPABC3;DNA-directed RNA polymerases I, II, and III subunit RPABC5;S-phase kinase-associated protein 1;Nuclear factor NF-kappa-B p100 subunit;Transcription factor p65;Proto-oncogene c-Rel;Ras GTPase-activating-like protein IQGAP2;Cullin-1;NF-kappa-B inhibitor beta;Programmed cell death protein 2;DNA-directed RNA polymerase I subunit RPA49;DNA-directed RNA polymerase I subunit RPA2;Ras GTPase-activating protein nGAP;F-box/WD repeat-containing protein 11;NF-kappa-B essential modulator	IKBKB;CHUK;POLR1G;POLR1A;POLR1D;NFKB1;MCC;LRPPRC;MTIF2;KPNA2;POLR2H;POLR2L;SKP1;NFKB2;RELA;REL;IQGAP2;CUL1;NFKBIB;PDCD2;POLR1E;POLR1B;RASAL2;FBXW11;IKBKG	IKKB;IKKA TCF16;ASE1 CAST CD3EAP PAF49;None;None;None;None;LRP130;None;RCH1, SRP1;None;None;EMC19 OCP2 SKP1A TCEB1L;LYT10;NFKB3;None;None;None;IKBB TRIP9;RP8 ZMYND7;PAF53 PRAF1;None;NGAP;BTRCP2 FBW1B FBXW1B KIAA0696;FIP3, NEMO
5234	CDC37-HSP90AB1-HSP90AA1-IKBKB-KIAA1967 complex	Human	None	HEK293 cells	O14920;P07900;P08238;Q16543;Q8N163	3551;3320;3326;11140;57805	MI:0676-tandem affinity purification	GO:0007249	I-kappaB kinase/NF-kappaB signaling	30.01.05.01.04	NIK-I-kappaB/NF-kappaB cascade	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Inhibitor of nuclear factor kappa-B kinase subunit beta;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;Hsp90 co-chaperone Cdc37;Cell cycle and apoptosis regulator protein 2	IKBKB;HSP90AA1;HSP90AB1;CDC37;CCAR2	IKKB;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;CDC37A;DBC1 KIAA1967
5235	WRN-Ku70-Ku80-PARP1 complex	Human	None	HEK 293T cells	P09874;P12956;P13010;Q14191	142;2547;7520;7486	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving;MI:0226-ion exchange chromatography	GO:0003677;GO:0006974;GO:0005634	DNA binding;cellular response to DNA damage stimulus;nucleus	16.03.01;32.01.09;70.10	DNA binding;DNA damage response;nucleus	14734561	PARP1 regulates the exonucleolytic activity of WRN.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Poly [ADP-ribose] polymerase 1;X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN	PARP1;XRCC6;XRCC5;WRN	ADPRT PPOL;G22P1;G22P2;RECQ3 RECQL2
5239	CAP(C)-CAP(E) complex	Human	SMC2-SMC4 complex	None	O95347;Q9NTJ3	10592;10051	MI:0006-anti bait coimmunoprecipitation	GO:0000279;GO:0030261;GO:0005634;GO:0000278	M phase;chromosome condensation;nucleus;mitotic cell cycle	10.03.01.01.11;10.03.04.03;70.10;10.03.01.01	M phase;chromosome condensation;nucleus;mitotic cell cycle	9789013	CAP(C)-CAP(E) complex is required for mitotic chromosome condensation.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Structural maintenance of chromosomes protein 2;Structural maintenance of chromosomes protein 4	SMC2;SMC4	CAPE SMC2L1;CAPC SMC4L1
5241	SMC1-SMC3 complex	Human	None	None	Q14683;Q9UQE7	8243;9126	MI:0006-anti bait coimmunoprecipitation	GO:0000279;GO:0005634;GO:0000278	M phase;nucleus;mitotic cell cycle	10.03.01.01.11;70.10;10.03.01.01	M phase;nucleus;mitotic cell cycle	9789013	SMC1-SMC3 complex is required for metaphase progression in mitotic cells.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Structural maintenance of chromosomes protein 1A;Structural maintenance of chromosomes protein 3	SMC1A;SMC3	DXS423E KIAA0178 SB1.8 SMC1 SMC1L1;BAM BMH CSPG6 SMC3L1
5243	XRCC1-LIG3-PNK-TDP1 complex	Human	None	None	P18887;P49916;Q96T60;Q9NUW8	7515;3980;11284;55775	MI:0006-anti bait coimmunoprecipitation	GO:0006281	DNA repair	10.01.05.01	DNA repair	15744309	None	TDP1 is involved in Spinocerebellar ataxia with axonal neuropathy (SCAN1).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	DNA repair protein XRCC1;DNA ligase 3;Bifunctional polynucleotide phosphatase/kinase;Tyrosyl-DNA phosphodiesterase 1	XRCC1;LIG3;PNKP;TDP1	None;None;None;None
5244	Dolichol-phosphate mannose (DPM) synthase	Human	None	None	O60762;O94777;Q9P2X0	8813;8818;54344	MI:0004-affinity chromatography technology	GO:0006486;GO:0042125;GO:0005783	protein glycosylation;protein galactosylation;endoplasmic reticulum	14.07.02;70.07	modification with sugar residues (e.g. glycosylation, deglycosylation);endoplasmic reticulum	10835346	The results indicate that DPM2 stabilizes DPM3 and DPM3 stabilizes DPM1.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Dolichol-phosphate mannosyltransferase subunit 1;Dolichol phosphate-mannose biosynthesis regulatory protein;Dolichol-phosphate mannosyltransferase subunit 3	DPM1;DPM2;DPM3	None;None;None
5251	Ku-ORC complex	Human	None	HCT116 cells	O43929;P12956;P13010;Q13416;Q9UBD5;Q9Y5N6	5000;2547;7520;4999;23595;23594	MI:0006-anti bait coimmunoprecipitation;MI:0402-chromatin immunoprecipitation assay	GO:0006267;GO:0003688;GO:0003677;GO:0005524;GO:0005694	pre-replicative complex assembly involved in nuclear cell cycle DNA replication;DNA replication origin binding;DNA binding;ATP binding;chromosome	10.01.03.03;16.03.01;16.19.03;70.10.03	ori recognition and priming complex formation;DNA binding;ATP binding;chromosome	15910003	Ku associates specifically with DNA replication origins in vivo in a cell cycle dependent manner, its association being maximal in late G1 phase and decreasing as cells enter S phase (PMID:11694575).	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Origin recognition complex subunit 4;X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;Origin recognition complex subunit 2;Origin recognition complex subunit 3;Origin recognition complex subunit 6	ORC4;XRCC6;XRCC5;ORC2;ORC3;ORC6	ORC4L;G22P1;G22P2;ORC2L;LATHEO ORC3L;ORC6L
5253	MNK1-eIF4F complex	Human	None	HEK 293T cells	P06730;P60842;Q04637;Q9BUB5	1977;1973;1981;8569	MI:0006-anti bait coimmunoprecipitation	GO:0006413;GO:0003723	translational initiation;RNA binding	12.04.01;16.03.03	translation initiation;RNA binding	9878069	Mnk1 is associated with the eIF4F complex.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Eukaryotic translation initiation factor 4E;Eukaryotic initiation factor 4A-I;Eukaryotic translation initiation factor 4 gamma 1;MAP kinase-interacting serine/threonine-protein kinase 1	EIF4E;EIF4A1;EIF4G1;MKNK1	EIF4EL1 EIF4F;DDX2A EIF4A;EIF4F EIF4G EIF4GI;MNK1
5260	CTNNB1-EP300-HADAC6-SUMO1-TCF4 complex	Human	None	human cancer cells (HCT116 cells; SW480 cells; LNCaP cells; PC3 cells; MCF7 cells)	P15884;P35222;P63165;Q09472;Q9UBN7	6925;1499;7341;2033;10013	MI:0019-coimmunoprecipitation;MI:0047-far western blotting;MI:0402-chromatin immunoprecipitation assay	GO:0006351	DNA-templated transcription	11	TRANSCRIPTION	15782138	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Transcription factor 4;Catenin beta-1;Small ubiquitin-related modifier 1;Histone acetyltransferase p300;Histone deacetylase 6	TCF4;CTNNB1;SUMO1;EP300;HDAC6	BHLHB19 ITF2 SEF2;CTNNB;SMT3C SMT3H3 UBL1;P300;KIAA0901
5261	CTNNB1-EP300-TCF4 complex	Human	None	human cancer cells (HCT116 cells; SW480 cells; LNCaP cells; PC3 cells; MCF7 cells)	P15884;P35222;Q09472	6925;1499;2033	MI:0019-coimmunoprecipitation;MI:0047-far western blotting;MI:0402-chromatin immunoprecipitation assay	GO:0006351	DNA-templated transcription	11	TRANSCRIPTION	15782138	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Transcription factor 4;Catenin beta-1;Histone acetyltransferase p300	TCF4;CTNNB1;EP300	BHLHB19 ITF2 SEF2;CTNNB;P300
5262	CTNNB1-TCF4 complex	Human	None	human cancer cells (HCT116 cells; SW480 cells; LNCaP cells; PC3 cells; MCF7 cells)	P15884;P35222	6925;1499	MI:0019-coimmunoprecipitation;MI:0047-far western blotting;MI:0402-chromatin immunoprecipitation assay	GO:0006351	DNA-templated transcription	11	TRANSCRIPTION	15782138	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	Transcription factor 4;Catenin beta-1	TCF4;CTNNB1	BHLHB19 ITF2 SEF2;CTNNB
5264	CTNNB1-CREBBP-TCF4 complex	Human	None	human cancer cells (HCT116 cells; SW480 cells; LNCaP cells; PC3 cells; MCF7 cells)	P15884;P35222;Q92793	6925;1499;1387	MI:0019-coimmunoprecipitation;MI:0047-far western blotting;MI:0402-chromatin immunoprecipitation assay	GO:0006351	DNA-templated transcription	11	TRANSCRIPTION	15782138	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Transcription factor 4;Catenin beta-1;CREB-binding protein	TCF4;CTNNB1;CREBBP	BHLHB19 ITF2 SEF2;CTNNB;CBP
5266	TNF-alpha/NF-kappa B signaling complex 6	Human	None	None	O14920;O15111;P07900;P08238;P22087;P36578;P62277;P62280;P62888;P62917;Q02878;Q16543;Q99558;Q9Y6K9	3551;1147;3320;3326;2091;6124;6207;6205;6156;6132;6128;11140;9020;8517	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Inhibitor of nuclear factor kappa-B kinase subunit beta;Inhibitor of nuclear factor kappa-B kinase subunit alpha;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;rRNA 2'-O-methyltransferase fibrillarin;60S ribosomal protein L4;40S ribosomal protein S13;40S ribosomal protein S11;60S ribosomal protein L30;60S ribosomal protein L8;60S ribosomal protein L6;Hsp90 co-chaperone Cdc37;Mitogen-activated protein kinase kinase kinase 14;NF-kappa-B essential modulator	IKBKB;CHUK;HSP90AA1;HSP90AB1;FBL;RPL4;RPS13;RPS11;RPL30;RPL8;RPL6;CDC37;MAP3K14;IKBKG	IKKB;IKKA TCF16;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;FIB1 FLRN;RPL1;None;None;None;None;TXREB1;CDC37A;NIK;FIP3, NEMO
5267	VHL-VDU1-TCEB1-TCEB2 complex	Human	None	None	P40337;Q15369;Q15370;Q8TEY7	7428;6921;6923;23032	MI:0007-anti tag coimmunoprecipitation	GO:0043161;GO:0006511	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	11739384	Only in the presence of VHL, VDU1 could be precipitated along with VHL, Elongin B and Elongin C.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	von Hippel-Lindau disease tumor suppressor;Elongin-C;Elongin-B;Ubiquitin carboxyl-terminal hydrolase 33	VHL;ELOC;ELOB;USP33	None;TCEB1;TCEB2;KIAA1097 VDU1
5268	TNF-alpha/NF-kappa B signaling complex 7	Human	None	None	O43318;P07900;P08238;Q13451;Q15750;Q16543;Q8N5C8;Q9NYJ8	6885;3320;3326;2289;10454;11140;257397;23118	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mitogen-activated protein kinase kinase kinase 7;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;Peptidyl-prolyl cis-trans isomerase FKBP5;TGF-beta-activated kinase 1 and MAP3K7-binding protein 1;Hsp90 co-chaperone Cdc37;TGF-beta-activated kinase 1 and MAP3K7-binding protein 3;TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	MAP3K7;HSP90AA1;HSP90AB1;FKBP5;TAB1;CDC37;TAB3;TAB2	TAK1;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;AIG6 FKBP51;MAP3K7IP1;CDC37A;MAP3K7IP3;KIAA0733, MAP3K7IP2
5269	TNF-alpha/NF-kappa B signaling complex 8	Human	None	None	P07900;P08238;Q13451;Q14164;Q16543;Q86UP2	3320;3326;2289;9641;11140;3895	MI:0676-tandem affinity purification	GO:0007249;GO:0005125	I-kappaB kinase/NF-kappaB signaling;cytokine activity	30.01.05.01.04;40.02.03.01	NIK-I-kappaB/NF-kappaB cascade;cytokines (interleukines, colony stimulating factors, etc.)	14743216	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;Peptidyl-prolyl cis-trans isomerase FKBP5;Inhibitor of nuclear factor kappa-B kinase subunit epsilon;Hsp90 co-chaperone Cdc37;Kinectin	HSP90AA1;HSP90AB1;FKBP5;IKBKE;CDC37;KTN1	HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;AIG6 FKBP51;IKKE IKKI KIAA0151;CDC37A;CG1 KIAA0004
5273	VHL-TBP1-HIF1A complex	Human	None	HEK 293 cells, RCC4-VHL cells	P17980;P40337;Q16665	5702;7428;3091	MI:0007-anti tag coimmunoprecipitation	GO:0043161;GO:0006511;GO:0000302;GO:0006979	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to reactive oxygen species;response to oxidative stress	14.13.01.01;32.01.01	proteasomal degradation (ubiquitin/proteasomal pathway);oxidative stress response	14556007	TBP-1 associates with the beta-domain of VHL and complexes with VHL and Hif1-alpha in vivo. The ability of VHL to degrade Hif1-alpha depends in part on its interaction with TBP-1 and suggests a new mechanism for Hif1-alpha stabilization in some VHL-deficient tumors.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	26S proteasome regulatory subunit 6A;von Hippel-Lindau disease tumor suppressor;Hypoxia-inducible factor 1-alpha	PSMC3;VHL;HIF1A	TBP1;None;BHLHE78 MOP1 PASD8
5274	Cell-cell junction complex (ARHGAP10, CTNNA1, CTNNB1)	Human	None	HEK293 cells;  Caco-2 cells; JEG-3 cells; HeLa cells	A1A4S6;P35221;P35222	79658;1495;1499	MI:0018-two hybrid;MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0007043;GO:0005911	cell-cell junction assembly;cell-cell junction	42.06.04;70.06.04	intercellular junction (gap junction/adherens junction);intercellular junction (gap junction/adherens junction)	16184169	ARHGAP10 is a partner of alpha-catenin, a GAP for RhoA and Cdc42, playing a critical role in alpha-catenin recruitment to the adherens junctions and in L. monocytogenes entry. ARHGAP10 could coordinate actin dynamics at cell-cell contacts and orchestrate the formation of specific protein complexes that are required for junction formation and L. monocytogenes uptake.	None	Alpha-catenin binds to the C terminus of ARHGAP10. The beta-catenin always co-immunoprecipitated with alpha-catenin.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Rho GTPase-activating protein 10;Catenin alpha-1;Catenin beta-1	ARHGAP10;CTNNA1;CTNNB1	GRAF2;None;CTNNB
5276	HIF1A-EGLN1-OS9 complex	Human	None	HEK 293 cells	Q13438;Q16665;Q9GZT9	10956;3091;54583	MI:0019-coimmunoprecipitation	GO:2001141;GO:0006355;GO:0000302;GO:0006979	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;response to reactive oxygen species;response to oxidative stress	11.02.03.04;32.01.01	transcriptional control;oxidative stress response	15721254	The results indicate that OS-9 and PHD2 bind to different regions of HIF-1-alpha, and therefore may bind simultaneously. The results show enhanced binding of PHD2 to V5-OS-9  in the presence of HIF-1-alpha.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Protein OS-9;Hypoxia-inducible factor 1-alpha;Egl nine homolog 1	OS9;HIF1A;EGLN1	None;BHLHE78 MOP1 PASD8;C1orf12
5277	HIF1A-EGLN3-OS9 complex	Human	None	HEK 293 cells	Q13438;Q16665;Q9H6Z9	10956;3091;112399	MI:0096-pull down	GO:2001141;GO:0006355;GO:0000302;GO:0006979	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;response to reactive oxygen species;response to oxidative stress	11.02.03.04;32.01.01	transcriptional control;oxidative stress response	15721254	Similar to its effect on PHD2, OS-9 stimulates the binding of PHD3 to HIF-1-alpha and cooperates with PHD3 to inhibit HIF-1 transcriptional activity.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Protein OS-9;Hypoxia-inducible factor 1-alpha;Prolyl hydroxylase EGLN3	OS9;HIF1A;EGLN3	None;BHLHE78 MOP1 PASD8;None
5280	IGF2R-PLIN3-RAB9A complex	Human	RAB9-TIP47-MPRI complex	in vitro	O60664;P11717;P51151	10226;3482;9367	MI:0004-affinity chromatography technology	GO:0006886;GO:0006605;GO:0015031;GO:0016192	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport	14.04;20.01.10;20.09.07	protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.)	11359012	Rab9 bound to immobilized CI-MPR only in the presence of TIP47 in a concentration-dependent manner. Thus TIP47 formed a ternary complex linking the CI-MPR and Rab9.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Perilipin-3;Cation-independent mannose-6-phosphate receptor;Ras-related protein Rab-9A	PLIN3;IGF2R;RAB9A	M6PRBP1 TIP47;MPRI;RAB9
5281	Cell-cell junction complex (CDH1, CTNNB1)	Human	None	HEK293 cells; JEG-3 cells	P12830;P35222	999;1499	MI:0019-coimmunoprecipitation;MI:0047-far western blotting	GO:0007043;GO:0005911	cell-cell junction assembly;cell-cell junction	42.06.04;70.06.04	intercellular junction (gap junction/adherens junction);intercellular junction (gap junction/adherens junction)	16184169	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	Cadherin-1;Catenin beta-1	CDH1;CTNNB1	CDHE UVO;CTNNB
